Source Well,Destination Well,Transfer Volume
A1,D106,2.5
A1,D107,2.5
A1,D108,2.5
A1,D109,2.5
A1,D110,2.5
A1,D111,2.5
A1,D112,2.5
A1,D113,2.5
A1,D114,2.5
A1,D115,2.5
A1,D116,2.5
A1,D117,2.5
A1,D118,2.5
A1,E103,2.5
A1,E104,2.5
A1,E105,2.5
A3,E106,2.5
A3,E107,2.5
A3,E108,2.5
A3,E109,2.5
A3,E110,2.5
A3,E111,2.5
A3,E112,2.5
A3,E113,2.5
A3,E114,2.5
A3,E115,2.5
A3,E116,2.5
A3,E117,2.5
A3,E118,2.5
A1,E119,2.5
A1,E120,2.5
A1,E121,2.5
A1,F101,2.5
A1,F102,2.5
A3,F103,2.5
A3,F104,2.5
A3,F105,2.5
A3,F106,2.5
A3,F107,2.5
A3,F108,2.5
A3,F109,2.5
A3,F110,2.5
A3,F111,2.5
A3,F112,2.5
A3,F113,2.5
A3,F114,2.5
A3,F115,2.5
A3,F116,2.5
A3,F117,2.5
A3,F118,2.5
A3,F119,2.5
A3,F120,2.5
A3,F121,2.5
A1,F122,2.5
A1,F123,2.5
A1,G100,2.5
A3,G101,2.5
A3,G102,2.5
A3,G103,2.5
A3,G104,2.5
A3,G105,2.5
A3,G106,2.5
A3,G107,2.5
A3,G108,2.5
A3,G109,2.5
A3,G110,2.5
A3,G111,2.5
A3,G112,2.5
A3,G113,2.5
A3,G114,2.5
A3,G115,2.5
A3,G116,2.5
A3,G117,2.5
A3,G118,2.5
A3,G119,2.5
A3,G120,2.5
A3,G121,2.5
A3,G122,2.5
A3,G123,2.5
A1,G124,2.5
A1,G125,2.5
A1,H98,2.5
A3,H99,2.5
A3,H100,2.5
A3,H101,2.5
A3,H102,2.5
A3,H103,2.5
A3,H104,2.5
A3,H105,2.5
A3,H106,2.5
A3,H107,2.5
A3,H108,2.5
A3,H109,2.5
A3,H110,2.5
A3,H111,2.5
A3,H112,2.5
A3,H113,2.5
A3,H114,2.5
A3,H115,2.5
A3,H116,2.5
A3,H117,2.5
A3,H118,2.5
A3,H119,2.5
A3,H120,2.5
A3,H121,2.5
A3,H122,2.5
A3,H123,2.5
A3,H124,2.5
A3,H125,2.5
A1,H126,2.5
A1,H127,2.5
A1,I96,2.5
A1,I97,2.5
A3,I98,2.5
A3,I99,2.5
A3,I100,2.5
A3,I101,2.5
A3,I102,2.5
A3,I103,2.5
A3,I104,2.5
A3,I105,2.5
A3,I106,2.5
A3,I107,2.5
A3,I108,2.5
A3,I109,2.5
A3,I110,2.5
A3,I111,2.5
A3,I112,2.5
A3,I113,2.5
A3,I114,2.5
A3,I115,2.5
A3,I116,2.5
A3,I117,2.5
A3,I118,2.5
A3,I119,2.5
A3,I120,2.5
A3,I121,2.5
A3,I122,2.5
A3,I123,2.5
A3,I124,2.5
A3,I125,2.5
A3,I126,2.5
A3,I127,2.5
A1,I128,2.5
A1,J95,2.5
A3,J96,2.5
A3,J97,2.5
A3,J98,2.5
A3,J99,2.5
A3,J100,2.5
A3,J101,2.5
A3,J102,2.5
A3,J103,2.5
A3,J104,2.5
A3,J105,2.5
A3,J106,2.5
A3,J107,2.5
A3,J108,2.5
A3,J109,2.5
A3,J110,2.5
A3,J111,2.5
A3,J112,2.5
A3,J113,2.5
A3,J114,2.5
A3,J115,2.5
A3,J116,2.5
A3,J117,2.5
A3,J118,2.5
A3,J119,2.5
A3,J120,2.5
A3,J121,2.5
A3,J122,2.5
A3,J123,2.5
A3,J124,2.5
A3,J125,2.5
A3,J126,2.5
A3,J127,2.5
A3,J128,2.5
A1,J129,2.5
A1,K94,2.5
A3,K95,2.5
A3,K96,2.5
A3,K97,2.5
A3,K98,2.5
A3,K99,2.5
A3,K100,2.5
A3,K101,2.5
A3,K102,2.5
A3,K103,2.5
A3,K104,2.5
A3,K105,2.5
A3,K106,2.5
A3,K107,2.5
A3,K108,2.5
A3,K109,2.5
A3,K110,2.5
A3,K111,2.5
A3,K112,2.5
A3,K113,2.5
A3,K114,2.5
A3,K115,2.5
A3,K116,2.5
A3,K117,2.5
A3,K118,2.5
A3,K119,2.5
A3,K120,2.5
A3,K121,2.5
A3,K122,2.5
A3,K123,2.5
A3,K124,2.5
A3,K125,2.5
A3,K126,2.5
A3,K127,2.5
A3,K128,2.5
A3,K129,2.5
A1,K130,2.5
A1,K131,2.5
A1,L92,2.5
A1,L93,2.5
A3,L94,2.5
A3,L95,2.5
A3,L96,2.5
A3,L97,2.5
A3,L98,2.5
A3,L99,2.5
A3,L100,2.5
A3,L101,2.5
A3,L102,2.5
A3,L103,2.5
A3,L104,2.5
A3,L105,2.5
A3,L106,2.5
A3,L107,2.5
A3,L108,2.5
A3,L109,2.5
A3,L110,2.5
A3,L111,2.5
A3,L112,2.5
A3,L113,2.5
A3,L114,2.5
A3,L115,2.5
A3,L116,2.5
A3,L117,2.5
A3,L118,2.5
A3,L119,2.5
A3,L120,2.5
A3,L121,2.5
A3,L122,2.5
A3,L123,2.5
A3,L124,2.5
A3,L125,2.5
A3,L126,2.5
A3,L127,2.5
A3,L128,2.5
A3,L129,2.5
A3,L130,2.5
A3,L131,2.5
A1,L132,2.5
A1,M92,2.5
A3,M93,2.5
A3,M94,2.5
A3,M95,2.5
A3,M96,2.5
A3,M97,2.5
A3,M98,2.5
A3,M99,2.5
A3,M100,2.5
A3,M101,2.5
A3,M102,2.5
A3,M103,2.5
A3,M104,2.5
A3,M105,2.5
A3,M106,2.5
A3,M107,2.5
A3,M108,2.5
A3,M109,2.5
A3,M110,2.5
A3,M111,2.5
A3,M112,2.5
A3,M113,2.5
A3,M114,2.5
A3,M115,2.5
A3,M116,2.5
A3,M117,2.5
A3,M118,2.5
A3,M119,2.5
A3,M120,2.5
A3,M121,2.5
A3,M122,2.5
A3,M123,2.5
A3,M124,2.5
A3,M125,2.5
A3,M126,2.5
A3,M127,2.5
A3,M128,2.5
A3,M129,2.5
A3,M130,2.5
A3,M131,2.5
A3,M132,2.5
A1,M133,2.5
A1,N91,2.5
A3,N92,2.5
A3,N93,2.5
A3,N94,2.5
A3,N95,2.5
A3,N96,2.5
A3,N97,2.5
A3,N98,2.5
