Source Well,Destination Well,Transfer Volume
A2,N87,2.5
A2,N88,2.5
A2,N89,2.5
A2,N90,2.5
A2,N91,2.5
A2,N92,2.5
A2,N93,2.5
A2,N94,2.5
A2,N95,2.5
A2,N96,2.5
A2,N97,2.5
A2,N98,2.5
A2,N99,2.5
A2,N100,2.5
A2,N101,2.5
A2,N102,2.5
A2,N103,2.5
A2,N104,2.5
A2,N105,2.5
A2,N106,2.5
A2,N107,2.5
A2,N108,2.5
A2,N109,2.5
A2,N110,2.5
A2,N111,2.5
A2,N112,2.5
A2,N113,2.5
A2,N114,2.5
A2,N115,2.5
A2,N116,2.5
A2,N117,2.5
A2,N118,2.5
A2,N119,2.5
A2,N120,2.5
A2,N121,2.5
A2,N122,2.5
A2,N123,2.5
A2,N124,2.5
A2,N125,2.5
A2,N126,2.5
A2,N127,2.5
A2,N128,2.5
A2,N129,2.5
A2,N130,2.5
A2,N131,2.5
A2,N132,2.5
A2,N133,2.5
A2,N134,2.5
A2,N135,2.5
A2,N136,2.5
A2,N137,2.5
A2,N138,2.5
A2,N139,2.5
A2,N140,2.5
A2,N141,2.5
A2,N142,2.5
A2,N143,2.5
A2,N144,2.5
A2,N145,2.5
A2,N146,2.5
A2,N147,2.5
A2,N148,2.5
A2,N149,2.5
A2,N150,2.5
A2,N151,2.5
A2,N152,2.5
A2,N153,2.5
A2,N154,2.5
A2,N155,2.5
A2,N156,2.5
A2,N157,2.5
A2,N158,2.5
A2,N159,2.5
A2,N160,2.5
A2,N161,2.5
A2,N162,2.5
A2,N163,2.5
A2,N164,2.5
A2,N165,2.5
A2,N166,2.5
A2,N167,2.5
A2,N168,2.5
A2,N169,2.5
A2,N170,2.5
A2,N171,2.5
A2,N172,2.5
A2,N173,2.5
A2,N174,2.5
A2,N175,2.5
A2,N176,2.5
A2,N177,2.5
A2,N178,2.5
A2,N179,2.5
A2,N180,2.5
A2,N181,2.5
A2,N182,2.5
A2,N183,2.5
A2,N184,2.5
A3,N185,2.5
A3,N186,2.5
A3,N187,2.5
A3,O88,2.5
A3,O89,2.5
A3,O90,2.5
A3,O91,2.5
A3,O92,2.5
A3,O93,2.5
A3,O94,2.5
A3,O95,2.5
A3,O96,2.5
A3,O97,2.5
A3,O98,2.5
A3,O99,2.5
A3,O100,2.5
A3,O101,2.5
A3,O102,2.5
A3,O103,2.5
A3,O104,2.5
A3,O105,2.5
A3,O106,2.5
A3,O107,2.5
A3,O108,2.5
A3,O109,2.5
A3,O110,2.5
A3,O111,2.5
A3,O112,2.5
A3,O113,2.5
A3,O114,2.5
A3,O115,2.5
A3,O116,2.5
A3,O117,2.5
A3,O118,2.5
A3,O119,2.5
A3,O120,2.5
A3,O121,2.5
A3,O122,2.5
A3,O123,2.5
A3,O124,2.5
A3,O125,2.5
A3,O126,2.5
A3,O127,2.5
A3,O128,2.5
A3,O129,2.5
A3,O130,2.5
A3,O131,2.5
A3,O132,2.5
A3,O133,2.5
A3,O134,2.5
A3,O135,2.5
A3,O136,2.5
A3,O137,2.5
A3,O138,2.5
A3,O139,2.5
A3,O140,2.5
A3,O141,2.5
A3,O142,2.5
A3,O143,2.5
A3,O144,2.5
A3,O145,2.5
A3,O146,2.5
A3,O147,2.5
A3,O148,2.5
A3,O149,2.5
A3,O150,2.5
A3,O151,2.5
A3,O152,2.5
A3,O153,2.5
A3,O154,2.5
A3,O155,2.5
A3,O156,2.5
A3,O157,2.5
A3,O158,2.5
A3,O159,2.5
A3,O160,2.5
A3,O161,2.5
A3,O162,2.5
A3,O163,2.5
A3,O164,2.5
A3,O165,2.5
A3,O166,2.5
A3,O167,2.5
A3,O168,2.5
A3,O169,2.5
A3,O170,2.5
A3,O171,2.5
A3,O172,2.5
A3,O173,2.5
A3,O174,2.5
A3,O175,2.5
A3,O176,2.5
A3,O177,2.5
A3,O178,2.5
A3,O179,2.5
A3,O180,2.5
A3,O181,2.5
A3,O182,2.5
A3,O183,2.5
A3,O184,2.5
A3,O185,2.5
A3,O186,2.5
A2,O187,2.5
A2,P88,2.5
A3,P89,2.5
A3,P90,2.5
A3,P91,2.5
A3,P92,2.5
A3,P93,2.5
A3,P94,2.5
A3,P95,2.5
A3,P96,2.5
A3,P97,2.5
A3,P98,2.5
A3,P99,2.5
A3,P100,2.5
A3,P101,2.5
A3,P102,2.5
A3,P103,2.5
A3,P104,2.5
A3,P105,2.5
A3,P106,2.5
A3,P107,2.5
A3,P108,2.5
A3,P109,2.5
A3,P110,2.5
A3,P111,2.5
A3,P112,2.5
A3,P113,2.5
A3,P114,2.5
A3,P115,2.5
A3,P116,2.5
A3,P117,2.5
A3,P118,2.5
A3,P119,2.5
A3,P120,2.5
A3,P121,2.5
A3,P122,2.5
A3,P123,2.5
A3,P124,2.5
A3,P125,2.5
A3,P126,2.5
A3,P127,2.5
A3,P128,2.5
A3,P129,2.5
A3,P130,2.5
A3,P131,2.5
A3,P132,2.5
A3,P133,2.5
A3,P134,2.5
A3,P135,2.5
A3,P136,2.5
A3,P137,2.5
A3,P138,2.5
A3,P139,2.5
A3,P140,2.5
A3,P141,2.5
A3,P142,2.5
A3,P143,2.5
A3,P144,2.5
A3,P145,2.5
A3,P146,2.5
A3,P147,2.5
A3,P148,2.5
A3,P149,2.5
A3,P150,2.5
A3,P151,2.5
A3,P152,2.5
A3,P153,2.5
A3,P154,2.5
A3,P155,2.5
A3,P156,2.5
A3,P157,2.5
A3,P158,2.5
A3,P159,2.5
A3,P160,2.5
A3,P161,2.5
A3,P162,2.5
A3,P163,2.5
A3,P164,2.5
A3,P165,2.5
A3,P166,2.5
A3,P167,2.5
A3,P168,2.5
A3,P169,2.5
A3,P170,2.5
A3,P171,2.5
