Source Well,Destination Well,Transfer Volume
A1,T67,2.5
A1,T68,2.5
A1,T69,2.5
A1,T70,2.5
A1,T71,2.5
A1,T72,2.5
A1,T73,2.5
A1,T74,2.5
A1,T75,2.5
A1,T76,2.5
A1,U62,2.5
A1,U63,2.5
A1,U64,2.5
A1,U65,2.5
A1,U66,2.5
A1,U67,2.5
A1,U68,2.5
A1,U69,2.5
A1,U70,2.5
A1,U71,2.5
A1,U72,2.5
A1,U73,2.5
A1,U74,2.5
A1,U75,2.5
A1,U76,2.5
A1,U77,2.5
A1,U78,2.5
A1,U79,2.5
A1,U80,2.5
A1,U81,2.5
A1,V59,2.5
A1,V60,2.5
A1,V61,2.5
A1,V62,2.5
A1,V63,2.5
A1,V64,2.5
A1,V65,2.5
A1,V66,2.5
A3,V67,2.5
A3,V68,2.5
A3,V69,2.5
A3,V70,2.5
A3,V71,2.5
A3,V72,2.5
A3,V73,2.5
A3,V74,2.5
A3,V75,2.5
A3,V76,2.5
A3,V77,2.5
A1,V78,2.5
A1,V79,2.5
A1,V80,2.5
A1,V81,2.5
A1,V82,2.5
A1,V83,2.5
A1,W57,2.5
A1,W58,2.5
A1,W59,2.5
A1,W60,2.5
A1,W61,2.5
A1,W62,2.5
A3,W63,2.5
A3,W64,2.5
A3,W65,2.5
A3,W66,2.5
A3,W67,2.5
A3,W68,2.5
A3,W69,2.5
A3,W70,2.5
A3,W71,2.5
A3,W72,2.5
A3,W73,2.5
A3,W74,2.5
A3,W75,2.5
A3,W76,2.5
A3,W77,2.5
A3,W78,2.5
A3,W79,2.5
A3,W80,2.5
A3,W81,2.5
A1,W82,2.5
A1,W83,2.5
A1,W84,2.5
A1,W85,2.5
A1,X56,2.5
A1,X57,2.5
A1,X58,2.5
A1,X59,2.5
A3,X60,2.5
A3,X61,2.5
A3,X62,2.5
A3,X63,2.5
A3,X64,2.5
A3,X65,2.5
A3,X66,2.5
A3,X67,2.5
A3,X68,2.5
A3,X69,2.5
A3,X70,2.5
A3,X71,2.5
A3,X72,2.5
A3,X73,2.5
A3,X74,2.5
A3,X75,2.5
A3,X76,2.5
A3,X77,2.5
A3,X78,2.5
A3,X79,2.5
A3,X80,2.5
A3,X81,2.5
A3,X82,2.5
A3,X83,2.5
A3,X84,2.5
A1,X85,2.5
A1,X86,2.5
A1,X87,2.5
A1,Y55,2.5
A1,Y56,2.5
A1,Y57,2.5
A3,Y58,2.5
A3,Y59,2.5
A3,Y60,2.5
A3,Y61,2.5
A3,Y62,2.5
A3,Y63,2.5
A3,Y64,2.5
A3,Y65,2.5
A3,Y66,2.5
A3,Y67,2.5
A3,Y68,2.5
A3,Y69,2.5
A3,Y70,2.5
A3,Y71,2.5
A3,Y72,2.5
A3,Y73,2.5
A3,Y74,2.5
A3,Y75,2.5
A3,Y76,2.5
A3,Y77,2.5
A3,Y78,2.5
A3,Y79,2.5
A3,Y80,2.5
A3,Y81,2.5
A3,Y82,2.5
A3,Y83,2.5
A3,Y84,2.5
A3,Y85,2.5
A1,Y86,2.5
A1,Y87,2.5
A1,Y88,2.5
A1,Z55,2.5
A1,Z56,2.5
A3,Z57,2.5
A3,Z58,2.5
A3,Z59,2.5
A3,Z60,2.5
A3,Z61,2.5
A3,Z62,2.5
A3,Z63,2.5
A3,Z64,2.5
A3,Z65,2.5
A3,Z66,2.5
A3,Z67,2.5
A3,Z68,2.5
A3,Z69,2.5
A3,Z70,2.5
A3,Z71,2.5
A3,Z72,2.5
A3,Z73,2.5
A3,Z74,2.5
A3,Z75,2.5
A3,Z76,2.5
A3,Z77,2.5
A3,Z78,2.5
A3,Z79,2.5
A3,Z80,2.5
A3,Z81,2.5
A3,Z82,2.5
A3,Z83,2.5
A3,Z84,2.5
A3,Z85,2.5
A3,Z86,2.5
A3,Z87,2.5
A1,Z88,2.5
A1,Z89,2.5
A1,Z90,2.5
A1,AA55,2.5
A1,AA56,2.5
A3,AA57,2.5
A3,AA58,2.5
A3,AA59,2.5
A3,AA60,2.5
A3,AA61,2.5
A3,AA62,2.5
A3,AA63,2.5
A3,AA64,2.5
A3,AA65,2.5
A3,AA66,2.5
A3,AA67,2.5
A3,AA68,2.5
A3,AA69,2.5
A3,AA70,2.5
A3,AA71,2.5
A3,AA72,2.5
A3,AA73,2.5
A3,AA74,2.5
A3,AA75,2.5
A3,AA76,2.5
A3,AA77,2.5
A3,AA78,2.5
A3,AA79,2.5
A3,AA80,2.5
A3,AA81,2.5
A3,AA82,2.5
A3,AA83,2.5
A3,AA84,2.5
A3,AA85,2.5
A3,AA86,2.5
A3,AA87,2.5
A3,AA88,2.5
A1,AA89,2.5
A1,AA90,2.5
A1,AA91,2.5
A1,AB55,2.5
A1,AB56,2.5
A3,AB57,2.5
A3,AB58,2.5
A3,AB59,2.5
A3,AB60,2.5
A3,AB61,2.5
A3,AB62,2.5
A3,AB63,2.5
A3,AB64,2.5
A3,AB65,2.5
A3,AB66,2.5
A3,AB67,2.5
A3,AB68,2.5
A3,AB69,2.5
A3,AB70,2.5
A3,AB71,2.5
A3,AB72,2.5
A3,AB73,2.5
A3,AB74,2.5
A3,AB75,2.5
A3,AB76,2.5
A3,AB77,2.5
A3,AB78,2.5
A3,AB79,2.5
A3,AB80,2.5
A3,AB81,2.5
A3,AB82,2.5
A3,AB83,2.5
A3,AB84,2.5
A3,AB85,2.5
A3,AB86,2.5
A3,AB87,2.5
A3,AB88,2.5
A3,AB89,2.5
A1,AB90,2.5
A1,AB91,2.5
A1,AB92,2.5
A1,AC55,2.5
A1,AC56,2.5
A3,AC57,2.5
A3,AC58,2.5
A3,AC59,2.5
A3,AC60,2.5
A3,AC61,2.5
A3,AC62,2.5
A3,AC63,2.5
A3,AC64,2.5
A3,AC65,2.5
A3,AC66,2.5
A3,AC67,2.5
A3,AC68,2.5
A3,AC69,2.5
A3,AC70,2.5
A3,AC71,2.5
A3,AC72,2.5
A3,AC73,2.5
A3,AC74,2.5
A3,AC75,2.5
A3,AC76,2.5
A3,AC77,2.5
A3,AC78,2.5
A3,AC79,2.5
A3,AC80,2.5
A3,AC81,2.5
A3,AC82,2.5
A3,AC83,2.5
A3,AC84,2.5
A3,AC85,2.5
A3,AC86,2.5
A3,AC87,2.5
A3,AC88,2.5
A3,AC89,2.5
A3,AC90,2.5
A1,AC91,2.5
A1,AC92,2.5
A1,AD56,2.5
A3,AD57,2.5
A3,AD58,2.5
A3,AD59,2.5
A3,AD60,2.5
A3,AD61,2.5
A3,AD62,2.5
A3,AD63,2.5
A3,AD64,2.5
A3,AD65,2.5
A3,AD66,2.5
A3,AD67,2.5
A3,AD68,2.5
A3,AD69,2.5
A3,AD70,2.5
A3,AD71,2.5
A3,AD72,2.5
A3,AD73,2.5
A3,AD74,2.5
A3,AD75,2.5
A3,AD76,2.5
A3,AD77,2.5
A3,AD78,2.5
A3,AD79,2.5
A3,AD80,2.5
A3,AD81,2.5
A3,AD82,2.5
A3,AD83,2.5
A3,AD84,2.5
A3,AD85,2.5
A3,AD86,2.5
A3,AD87,2.5
A3,AD88,2.5
A3,AD89,2.5
A3,AD90,2.5
A3,AD91,2.5
A1,AD92,2.5
A1,AD93,2.5
A3,AE54,2.5
