Source Well,Destination Well,Transfer Volume
A2,N45,2.5
A2,N46,2.5
A2,N47,2.5
A2,N48,2.5
A2,N49,2.5
A2,N50,2.5
A2,N51,2.5
A2,N52,2.5
A2,N53,2.5
A2,N54,2.5
A2,N55,2.5
A2,N56,2.5
A2,N57,2.5
A2,N58,2.5
A2,N59,2.5
A2,N60,2.5
A2,N61,2.5
A2,N62,2.5
A2,N63,2.5
A2,N64,2.5
A2,N65,2.5
A2,N66,2.5
A2,N67,2.5
A2,N68,2.5
A2,N69,2.5
A2,N70,2.5
A2,N71,2.5
A2,N72,2.5
A2,N73,2.5
A2,N74,2.5
A2,N75,2.5
A2,N76,2.5
A2,N77,2.5
A2,N78,2.5
A2,N79,2.5
A2,N80,2.5
A2,N81,2.5
A2,N82,2.5
A2,N83,2.5
A2,N84,2.5
A2,N85,2.5
A2,N86,2.5
A2,N87,2.5
A2,N88,2.5
A2,N89,2.5
A2,N90,2.5
A2,N91,2.5
A2,N92,2.5
A2,N93,2.5
A2,N94,2.5
A2,N95,2.5
A2,N96,2.5
A2,N97,2.5
A2,N98,2.5
A2,N99,2.5
A2,N100,2.5
A2,N101,2.5
A2,N102,2.5
A2,N103,2.5
A2,N104,2.5
A2,N105,2.5
A2,N106,2.5
A2,N107,2.5
A2,N108,2.5
A2,N109,2.5
A2,N110,2.5
A2,N111,2.5
A2,N112,2.5
A2,N113,2.5
A2,N114,2.5
A2,N115,2.5
A2,N116,2.5
A2,N117,2.5
A2,N118,2.5
A2,N119,2.5
A2,N120,2.5
A2,N121,2.5
A2,N122,2.5
A2,N123,2.5
A2,N124,2.5
A2,N125,2.5
A2,N126,2.5
A2,N127,2.5
A2,N128,2.5
A2,N129,2.5
A2,N130,2.5
A2,N131,2.5
A2,N132,2.5
A2,N133,2.5
A2,N134,2.5
A2,N135,2.5
A2,N136,2.5
A2,N137,2.5
A2,N138,2.5
A2,N139,2.5
A2,N140,2.5
A2,N141,2.5
A2,N142,2.5
A2,N143,2.5
A2,N144,2.5
A2,N145,2.5
A2,N146,2.5
A2,N147,2.5
A2,N148,2.5
A2,O45,2.5
A2,O46,2.5
A2,O47,2.5
A2,O48,2.5
A2,O49,2.5
A2,O50,2.5
A2,O51,2.5
A2,O52,2.5
A2,O53,2.5
A2,O54,2.5
A2,O55,2.5
A2,O56,2.5
A2,O57,2.5
A2,O58,2.5
A2,O59,2.5
A2,O60,2.5
A2,O61,2.5
A2,O62,2.5
A2,O63,2.5
A2,O64,2.5
A2,O65,2.5
A2,O66,2.5
A2,O67,2.5
A2,O68,2.5
A2,O69,2.5
A2,O70,2.5
A2,O71,2.5
A2,O72,2.5
A2,O73,2.5
A2,O74,2.5
A2,O75,2.5
A2,O76,2.5
A2,O77,2.5
A2,O78,2.5
A2,O79,2.5
A2,O80,2.5
A2,O81,2.5
A2,O82,2.5
A2,O83,2.5
A2,O84,2.5
A2,O85,2.5
A2,O86,2.5
A2,O87,2.5
A2,O88,2.5
A2,O89,2.5
A2,O90,2.5
A2,O91,2.5
A2,O92,2.5
A2,O93,2.5
A2,O94,2.5
A2,O95,2.5
A2,O96,2.5
A2,O97,2.5
A2,O98,2.5
A2,O99,2.5
A2,O100,2.5
A2,O101,2.5
A2,O102,2.5
A2,O103,2.5
A2,O104,2.5
A2,O105,2.5
A2,O106,2.5
A2,O107,2.5
A2,O108,2.5
A2,O109,2.5
A2,O110,2.5
A2,O111,2.5
A2,O112,2.5
A2,O113,2.5
A2,O114,2.5
A2,O115,2.5
A2,O116,2.5
A2,O117,2.5
A2,O118,2.5
A2,O119,2.5
A2,O120,2.5
A2,O121,2.5
A2,O122,2.5
A2,O123,2.5
A2,O124,2.5
A2,O125,2.5
A2,O126,2.5
A2,O127,2.5
A2,O128,2.5
A2,O129,2.5
A2,O130,2.5
A2,O131,2.5
A2,O132,2.5
A2,O133,2.5
A2,O134,2.5
A2,O135,2.5
A2,O136,2.5
A2,O137,2.5
A2,O138,2.5
A2,O139,2.5
A2,O140,2.5
A2,O141,2.5
A2,O142,2.5
A2,O143,2.5
A2,O144,2.5
A2,O145,2.5
A2,O146,2.5
A2,O147,2.5
A2,O148,2.5
A2,P45,2.5
A2,P46,2.5
A2,P47,2.5
A2,P48,2.5
A2,P49,2.5
A2,P50,2.5
A2,P51,2.5
A2,P52,2.5
A2,P53,2.5
A2,P54,2.5
A2,P55,2.5
A2,P56,2.5
A2,P57,2.5
A2,P58,2.5
A2,P59,2.5
A2,P60,2.5
A2,P61,2.5
A2,P62,2.5
A2,P63,2.5
A2,P64,2.5
A2,P65,2.5
A2,P66,2.5
A2,P67,2.5
A2,P68,2.5
A2,P69,2.5
A2,P70,2.5
A2,P71,2.5
A2,P72,2.5
A2,P73,2.5
A2,P74,2.5
A2,P75,2.5
A2,P76,2.5
A2,P77,2.5
A2,P78,2.5
A2,P79,2.5
A2,P80,2.5
A2,P81,2.5
A2,P82,2.5
A2,P83,2.5
A2,P84,2.5
A2,P85,2.5
A2,P86,2.5
A2,P87,2.5
A2,P88,2.5
A2,P89,2.5
A2,P90,2.5
A2,P91,2.5
A2,P92,2.5
A2,P93,2.5
A2,P94,2.5
A2,P95,2.5
A2,P96,2.5
A2,P97,2.5
A2,P98,2.5
A2,P99,2.5
A2,P100,2.5
A2,P101,2.5
A2,P102,2.5
A2,P103,2.5
A2,P104,2.5
A2,P105,2.5
A2,P106,2.5
A2,P107,2.5
A2,P108,2.5
A2,P109,2.5
A2,P110,2.5
A2,P111,2.5
A2,P112,2.5
A2,P113,2.5
A2,P114,2.5
A2,P115,2.5
A2,P116,2.5
A2,P117,2.5
A2,P118,2.5
A2,P119,2.5
A2,P120,2.5
A2,P121,2.5
A2,P122,2.5
A2,P123,2.5
A2,P124,2.5
A2,P125,2.5
A2,P126,2.5
A2,P127,2.5
A2,P128,2.5
A2,P129,2.5
A2,P130,2.5
A2,P131,2.5
A2,P132,2.5
A2,P133,2.5
A2,P134,2.5
A2,P135,2.5
A2,P136,2.5
A2,P137,2.5
A2,P138,2.5
A2,P139,2.5
A2,P140,2.5
A2,P141,2.5
A2,P142,2.5
A2,P143,2.5
A2,P144,2.5
A2,P145,2.5
A2,P146,2.5
A2,P147,2.5
A2,P148,2.5
A2,Q45,2.5
A2,Q46,2.5
A2,Q47,2.5
A2,Q48,2.5
A2,Q49,2.5
A2,Q50,2.5
A2,Q51,2.5
A2,Q52,2.5
A2,Q53,2.5
A2,Q54,2.5
A2,Q55,2.5
A2,Q56,2.5
A2,Q57,2.5
A2,Q58,2.5
A2,Q59,2.5
A1,Q60,2.5
A1,Q61,2.5
A1,Q62,2.5
A1,Q63,2.5
A2,Q64,2.5
A2,Q65,2.5
A2,Q66,2.5
A1,Q67,2.5
A1,Q68,2.5
A1,Q69,2.5
A2,Q70,2.5
A2,Q71,2.5
A2,Q72,2.5
A2,Q73,2.5
A1,Q74,2.5
A2,Q75,2.5
A2,Q76,2.5
A2,Q77,2.5
A2,Q78,2.5
A2,Q79,2.5
A2,Q80,2.5
A2,Q81,2.5
A2,Q82,2.5
A2,Q83,2.5
A2,Q84,2.5
A2,Q85,2.5
A2,Q86,2.5
A2,Q87,2.5
A2,Q88,2.5
A2,Q89,2.5
A2,Q90,2.5
